Gonzalez, Scarlett  ID=149189      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, 4th
2,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, 1st
3,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
4,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A


Adams, Logan  ID=193552      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, 3rd
2,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 7th
3,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A
4,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A


Jones, Alexander  ID=130317      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A
2,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
3,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
4,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A


Carter, Noah  ID=198091      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A
2,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
3,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, 3rd
4,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A


Robinson, Jack  ID=137706      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
2,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
3,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
4,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, 4th


Williams, Olivia  ID=112087      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, 1st
2,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, N/A
3,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, 3rd
4,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A


Wright, Benjamin  ID=168471      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
2,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, 5th
3,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 3rd
4,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A


Martin, Jackson  ID=194539      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
2,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, N/A
3,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
4,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A


