NUM_STUDENTS, 600
FIRST_NAME, LAST_NAME, HR_TEACH, FIRST_PERIOD, STUDENT_ID, GRADE, SEL1_ID, SEL1_TEACH, SEL2_ID, SEL2_TEACH, SEL3_ID, SEL3_TEACH, SEL4_ID, SEL4_TEACH
 Samuel,  Nelson,  Blackwood I,  Ravenscroft S, 109754, 7, 32,  Ravenscroft S, 11,  Wainwright J, 35,  Vance J, 2,  Greystone M
 Wyatt,  Harris,  Ashford S,  Vance J, 158220, 8, 17,  Ingram O, 8,  Yardley A, 18,  Kingsley H, 39,  Abernathy S
 Zoey,  Lopez,  Underwood M,  Ravenscroft S, 166221, 9, 38,  Marlowe S, 10,  Greystone O, 30,  Sinclair J, 18,  Kingsley H
 James,  Scott,  Quincy B,  Underwood M, 171504, 10, 14,  Beaumont S, 36,  Kingsley D, 38,  Marlowe S, 1,  Marlowe B
 Evelyn,  Rodriguez,  Whitmore H,  Ravenscroft S, 182223, 11, 18,  Kingsley H, 30,  Sinclair J, 19,  Montgomery C, 7,  Ashford S
 Camila,  Hill,  Montgomery O,  Vance J, 136839, 12, 26,  Whitmore C, 38,  Marlowe S, 12,  Fitzwilliam E, 23,  Ravenscroft A
 Liam,  Martinez,  Tennyson C,  Eversley A, 174416, 7, 11,  Wainwright J, 39,  Abernathy S, 14,  Beaumont S, 13,  Radcliffe L
 Owen,  Lopez,  Radcliffe L,  Sinclair J, 117014, 8, 4,  Eversley A, 33,  Langley G, 1,  Marlowe B, 15,  Haverford G
 Daniel,  Robinson,  Ingram O,  Underwood M, 117896, 9, 19,  Montgomery C, 35,  Vance J, 2,  Greystone M, 41,  Whitmore H
 Riley,  Davis,  Fitzwilliam E,  Ashford S, 148487, 10, 37,  Davenport W, 34,  Rutherford E, 27,  Underwood M, 14,  Beaumont S
 Scarlett,  Gonzalez,  Haverford G,  Abernathy S, 149189, 11, 5,  Tennyson C, 8,  Yardley A, 22,  Ellsworth G, 17,  Ingram O
 Scarlett,  Lee,  Kingsley O,  Montgomery C, 131409, 12, 5,  Tennyson C, 26,  Whitmore C, 24,  Blackwood I, 4,  Eversley A
 Ava,  Hill,  Rutherford E,  Whitmore H, 128919, 7, 25,  Ravenscroft S, 34,  Rutherford E, 17,  Ingram O, 29,  Montgomery C
 William,  Roberts,  Galloway J,  Wainwright J, 134012, 8, 17,  Ingram O, 18,  Kingsley H, 35,  Vance J, 38,  Marlowe S
 Scarlett,  White,  Wainwright J,  Whitmore H, 135272, 9, 17,  Ingram O, 2,  Greystone M, 29,  Montgomery C, 41,  Whitmore H
 Logan,  Taylor,  Abernathy S,  Underwood M, 123844, 10, 35,  Vance J, 24,  Blackwood I, 23,  Ravenscroft A, 18,  Kingsley H
 Emma,  Smith,  Kingsley O,  Ravenscroft A, 104569, 11, 15,  Haverford G, 14,  Beaumont S, 26,  Whitmore C, 31,  Galloway J
 Oliver,  Martin,  Marlowe S,  Galloway J, 167976, 12, 21,  Fairfax O, 14,  Beaumont S, 40,  Montgomery O, 32,  Ravenscroft S
 Alexander,  Baker,  Yardley A,  Whitmore H, 132561, 7, 36,  Kingsley D, 7,  Ashford S, 17,  Ingram O, 38,  Marlowe S
 Harper,  Rivera,  Davenport W,  Vance J, 168804, 8, 24,  Blackwood I, 38,  Marlowe S, 30,  Sinclair J, 6,  Fitzwilliam J
 Oliver,  Rivera,  Fitzwilliam J,  Ingram O, 132545, 9, 2,  Greystone M, 32,  Ravenscroft S, 15,  Haverford G, 33,  Langley G
 Sebastian,  Sanchez,  Rutherford E,  Quincy B, 102850, 10, 19,  Montgomery C, 15,  Haverford G, 31,  Galloway J, 29,  Montgomery C
 Harper,  King,  Kingsley H,  Kingsley D, 130790, 11, 35,  Vance J, 30,  Sinclair J, 4,  Eversley A, 11,  Wainwright J
 Harper,  Nguyen,  Montgomery O,  Vance J, 163361, 12, 41,  Whitmore H, 20,  Fairfax R, 12,  Fitzwilliam E, 21,  Fairfax O
 Logan,  Adams,  Underwood M,  Abernathy S, 193552, 7, 4,  Eversley A, 3,  Kingsley O, 19,  Montgomery C, 22,  Ellsworth G
 Harper,  Lee,  Greystone O,  Ashford S, 160211, 8, 26,  Whitmore C, 25,  Ravenscroft S, 16,  Ormsby M, 4,  Eversley A
 Henry,  Martin,  Haverford G,  Ormsby M, 142270, 9, 8,  Yardley A, 10,  Greystone O, 35,  Vance J, 29,  Montgomery C
 Alexander,  Baker,  Marlowe S,  Radcliffe L, 140154, 10, 10,  Greystone O, 19,  Montgomery C, 4,  Eversley A, 12,  Fitzwilliam E
 Sophia,  Lee,  Marlowe S,  Underwood M, 150841, 11, 31,  Galloway J, 37,  Davenport W, 14,  Beaumont S, 11,  Wainwright J
 Sophia,  Brown,  Beaumont S,  Fitzwilliam E, 161922, 12, 7,  Ashford S, 37,  Davenport W, 33,  Langley G, 30,  Sinclair J
 Lucas,  Harris,  Kingsley O,  Davenport W, 168950, 7, 39,  Abernathy S, 19,  Montgomery C, 28,  Ainsworth G, 38,  Marlowe S
 Henry,  Jackson,  Ormsby M,  Whitmore C, 185804, 8, 20,  Fairfax R, 17,  Ingram O, 7,  Ashford S, 28,  Ainsworth G
