SUBJECT,  [Women in Electrical Engineering]
 Marlowe B by  Presenter 1
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Walker, Carter,1st, [Not Just a nurse],  Davenport W
1, Wright, Ella,1st, [A Career in Construction Management and Project Scheduling],  Montgomery C
1, Taylor, Mia,4th, [Not Just a nurse],  Davenport W
1, Rodriguez, Joseph,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
1, Thomas, Nora,6th, [Being a Chiropractor],  Vance J
1, Carter, Camila,2nd, [Why You need a resume],  Greystone M
1, White, Evelyn,N/A, [Science behind Police Response to Traffic Crashes],  Blackwood I
1, Roberts, Mason,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Harris, Owen,N/A, [A career in medicine],  Kingsley D
1, White, Ethan,N/A, [Sparking Innovation & Making an Impact],  Marlowe S
1, Wright, Logan,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
1, Nelson, Mateo,N/A, [Being a Pilot],  Galloway J
1, Anderson, Aiden,2nd, [Finanical Literacy for Students],  Yardley A
1, Thompson, Logan,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
1, Carter, Scarlett,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Perez, Mila,N/A, [Science behind Police Response to Traffic Crashes],  Blackwood I
2, Lee, Sebastian,5th, [Being a Chiropractor],  Vance J
2, Nelson, Nora,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
2, Martinez, Camila,N/A, [Being a Pilot],  Galloway J
2, Walker, Riley,N/A, [Space Based Intelligence Software],  Haverford G
2, Hill, Wyatt,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
2, Gonzalez, Mia,N/A, [Becoming a Sheriff],  Fairfax R
2, Thomas, Aria,N/A, [Not Just a nurse],  Davenport W
2, Johnson, William,N/A, [Finanical Literacy for Students],  Yardley A
2, Flores, Charlotte,N/A, [Cybersecurity and hacking],  Whitmore H
2, White, Emma,N/A, [Not Just a nurse],  Davenport W
2, Perez, Liam,N/A, [Career in the Legal Profession],  Fitzwilliam E
2, Hernandez, Olivia,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
2, Anderson, James,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
2, Martin, William,N/A, [Architecture - designing buildings big & small],  Eversley A
2, Smith, Alexander,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Ramirez, Aria,6th, [The Role of Local Government in Everyday Living],  Kingsley O
3, Lopez, Owen,6th, [Space Based Intelligence Software],  Haverford G
3, Gonzalez, Camila,N/A, [Treating Cancer with Radiation],  Greystone O
3, Johnson, Joseph,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
3, King, Isabella,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
3, Johnson, Samuel,N/A, [Engineering: a career with many changes],  Ravenscroft A
3, Clark, Jack,1st, [Careers in Chemistry at Kennedy Space Center],  Ingram O
3, Jackson, Harper,6th, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
3, Williams, Ethan,N/A, [Exploring IT Careers],  Ellsworth G
3, Hill, Amelia,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
3, Perez, Harper,N/A, [Becoming a Sheriff],  Fairfax R
3, Hall, Scarlett,N/A, [Careers in Cybersecurity],  Ravenscroft S
3, White, Liam,N/A, [Space Based Intelligence Software],  Haverford G
4, Scott, James,N/A,N/A, N/A
4, Smith, Samuel,2nd,N/A, N/A
4, Robinson, Riley,N/A,N/A, N/A
4, Robinson, Jack,4th,N/A, N/A
4, Lopez, Luna,N/A,N/A, N/A
4, Baker, Daniel,6th,N/A, N/A
4, Hernandez, Joseph,N/A,N/A, N/A
4, Flores, Lucas,N/A,N/A, N/A
4, Hernandez, Grace,5th,N/A, N/A


SUBJECT,  [Why You need a resume]
 Greystone M by  Presenter 2
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Rivera, Oliver,7th, [Careers in Cybersecurity],  Ravenscroft S
1, Jackson, Benjamin,5th, [Treating Cancer with Radiation],  Greystone O
1, Taylor, Mateo,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
1, Martinez, Noah,1st, [The Role of Local Government in Everyday Living],  Kingsley O
1, Thomas, Layla,3rd, [Careers in Chemistry at Kennedy Space Center],  Ingram O
1, Thompson, Jack,N/A, [Being a Pilot],  Galloway J
1, Green, Layla,4th, [Follow the Money to Stop the Crime],  Beaumont S
1, Clark, Jackson,N/A, [The Entertainment Business],  Sinclair J
1, Green, Evelyn,N/A, [Architecture - designing buildings big & small],  Eversley A
1, Nguyen, Logan,N/A, [Practicing Now to Be an Author Later],  Rutherford E
1, Roberts, Ellie,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
1, Hill, Layla,N/A, [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J
1, Rodriguez, Olivia,N/A, [A career in medicine],  Kingsley D
1, White, Liam,2nd, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
2, White, Scarlett,3rd, [Crime Scene Investigation],  Montgomery C
2, King, Mateo,1st, [A career in medicine],  Kingsley D
2, Ramirez, Jack,N/A, [Becoming a Sheriff],  Fairfax R
2, Gonzalez, Camila,5th, [Women in Electrical Engineering],  Marlowe B
2, Carter, Camila,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Thompson, Isabella,1st, [Science behind Police Response to Traffic Crashes],  Blackwood I
2, Hill, Ellie,N/A, [Practicing Now to Be an Author Later],  Rutherford E
2, Martin, Carter,1st, [Science behind Police Response to Traffic Crashes],  Blackwood I
2, Williams, Noah,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
2, Moore, Emma,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
2, Lopez, Grace,5th, [Career Paths for the Orthodontist],  Fitzwilliam J
2, Flores, Elijah,6th, [Science behind Police Response to Traffic Crashes],  Blackwood I
2, Miller, Oliver,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
2, Johnson, Owen,1st, [Science behind Police Response to Traffic Crashes],  Blackwood I
2, Carter, Levi,6th, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
2, Robinson, Lucas,N/A, [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L
2, Roberts, Nora,N/A, [Careers in Cybersecurity],  Ravenscroft S
2, Brown, Mateo,N/A, [Science behind Police Response to Traffic Crashes],  Blackwood I
2, Jones, Samuel,N/A, [Careers in Cybersecurity],  Ravenscroft S
3, Robinson, Daniel,2nd, [Cybersecurity and hacking],  Whitmore H
3, Flores, Sebastian,4th, [Careers in Chemistry at Kennedy Space Center],  Ingram O
3, Robinson, Sebastian,2nd, [Science behind Police Response to Traffic Crashes],  Blackwood I
3, Moore, Carter,3rd, [School Board Member/SLP],  Fairfax O
3, Thomas, Oliver,1st, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
3, Scott, William,N/A, [Architecture - designing buildings big & small],  Eversley A
3, Perez, Amelia,3rd, [Science behind Police Response to Traffic Crashes],  Blackwood I
3, Johnson, Daniel,6th, [School Board Member/SLP],  Fairfax O
3, Young, Camila,7th, [Cybersecurity and hacking],  Whitmore H
3, Williams, Luna,N/A, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
3, Lee, Jackson,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
3, Robinson, Amelia,1st, [Engineering: a career with many changes],  Ravenscroft A
3, Garcia, Jack,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
3, Mitchell, Layla,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
3, Young, Ava,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
4, Nelson, Samuel,4th,N/A, N/A
4, Garcia, Olivia,N/A,N/A, N/A
4, Thomas, Aria,N/A,N/A, N/A
4, Moore, William,N/A,N/A, N/A
4, Rodriguez, Oliver,5th,N/A, N/A
4, Thomas, Charlotte,N/A,N/A, N/A
4, King, Elijah,N/A,N/A, N/A
4, Miller, Amelia,N/A,N/A, N/A
4, Sanchez, Oliver,N/A,N/A, N/A
4, Miller, Carter,2nd,N/A, N/A
4, Hall, Olivia,N/A,N/A, N/A


SUBJECT,  [The Role of Local Government in Everyday Living]
